INFO   | jvm 1    | main    | 2014/01/06 12:24:08.203 | [m[0;32mINFO  [WrapperSimpleAppMain] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (yinstoreinitialdata) located in (yinstoreinitialdata-spring.xml) took: (13.35 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:08.605 | [m[0;32mINFO  [WrapperSimpleAppMain] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (cockpit) located in (cockpit-spring.xml) took: (443.8 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:08.607 | [m[0;32mINFO  [WrapperSimpleAppMain] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (cscockpit) located in (cscockpit-spring.xml) took: (10.66 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:08.709 | [m[0;32mINFO  [WrapperSimpleAppMain] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (productcockpit) located in (productcockpit-spring.xml) took: (15.19 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:08.712 | [m[0;32mINFO  [WrapperSimpleAppMain] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (cmscockpit) located in (cmscockpit-spring.xml) took: (9.548 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:08.714 | [m[0;32mINFO  [WrapperSimpleAppMain] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (reportcockpit) located in (reportcockpit-spring.xml) took: (14.21 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:08.716 | [m[0;32mINFO  [WrapperSimpleAppMain] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (merchandisecockpits) located in (merchandisecockpits-spring.xml) took: (17.58 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:08.717 | [m[0;32mINFO  [WrapperSimpleAppMain] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (mcc) located in (mcc-spring.xml) took: (9.163 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:08.719 | [m[0;32mINFO  [WrapperSimpleAppMain] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (backoffice) located in (backoffice-spring.xml) took: (14.63 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:08.721 | [m[0;32mINFO  [WrapperSimpleAppMain] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (admincockpit) located in (admincockpit-spring.xml) took: (10.14 ms)
INFO   | jvm 1    | main    | 2014/01/06 12:24:09.224 | [m
INFO   | jvm 1    | main    | 2014/01/06 12:24:11.127 | [0;32mINFO  [WrapperSimpleAppMain] [DefaultCacheController] Registered Listener de.hybris.platform.media.storage.impl.DefaultLocalMediaFileCacheService$MediaCacheLifecycleCallback@34a114f0 on cache controller. Currently registered 2
INFO   | jvm 1    | main    | 2014/01/06 12:24:11.631 | [m[0;32mINFO  [WrapperSimpleAppMain] [Reflections] Reflections took 67 ms to scan 1 urls, producing 3 keys and 7 values 
INFO   | jvm 1    | main    | 2014/01/06 12:24:11.633 | [m[0;32mINFO  [WrapperSimpleAppMain] [Reflections] Reflections took 3 ms to scan 1 urls, producing 2 keys and 5 values 
INFO   | jvm 1    | main    | 2014/01/06 12:24:12.136 | [m
INFO   | jvm 1    | main    | 2014/01/06 12:24:14.940 | [0;33mWARN  [WrapperSimpleAppMain] [DefaultOrderService] Injecting deprecated Place Order Strategy!
INFO   | jvm 1    | main    | 2014/01/06 12:24:14.941 | [m[0;33mWARN  [WrapperSimpleAppMain] [DefaultOrderService] Injecting deprecated OrderCalcuation strategy!
INFO   | jvm 1    | main    | 2014/01/06 12:24:15.443 | [m
INFO   | jvm 1    | main    | 2014/01/06 12:24:16.345 | [0;33mWARN  [WrapperSimpleAppMain] [AbstractEventListener] Found missing tenantService dependency for bean de.hybris.platform.solrfacetsearch.events.SolrConfigConversionEventListener$$EnhancerByCGLIB$$2d1154a7@697cceac, please adjust spring configuration
INFO   | jvm 1    | main    | 2014/01/06 12:24:16.348 | [m[0;33mWARN  [WrapperSimpleAppMain] [AbstractEventListener] Found missing clusterService dependency for bean de.hybris.platform.solrfacetsearch.events.SolrConfigConversionEventListener$$EnhancerByCGLIB$$2d1154a7@697cceac, please adjust spring configuration
INFO   | jvm 1    | main    | 2014/01/06 12:24:16.852 | [m[0;33mWARN  [WrapperSimpleAppMain] [DefaultOrderService] Injecting deprecated Place Order Strategy!
INFO   | jvm 1    | main    | 2014/01/06 12:24:16.853 | [m[0;33mWARN  [WrapperSimpleAppMain] [DefaultOrderService] Injecting deprecated OrderCalcuation strategy!
INFO   | jvm 1    | main    | 2014/01/06 12:24:17.355 | [m
INFO   | jvm 1    | main    | 2014/01/06 12:24:18.057 | [0;33mWARN  [WrapperSimpleAppMain] [AbstractEventListener] Found missing tenantService dependency for bean de.hybris.platform.btg.events.ProductVisitedBTGRuleDataEventListener$$EnhancerByCGLIB$$31c7667@51e555f6, please adjust spring configuration
INFO   | jvm 1    | main    | 2014/01/06 12:24:18.060 | [m[0;33mWARN  [WrapperSimpleAppMain] [AbstractEventListener] Found missing clusterService dependency for bean de.hybris.platform.btg.events.ProductVisitedBTGRuleDataEventListener$$EnhancerByCGLIB$$31c7667@51e555f6, please adjust spring configuration
INFO   | jvm 1    | main    | 2014/01/06 12:24:18.062 | [m[0;33mWARN  [WrapperSimpleAppMain] [AbstractEventListener] Found missing tenantService dependency for bean de.hybris.platform.btg.events.ContentPageVisitedBTGRuleDataEventListener$$EnhancerByCGLIB$$e206ae83@ab589ae, please adjust spring configuration
INFO   | jvm 1    | main    | 2014/01/06 12:24:18.065 | [m[0;33mWARN  [WrapperSimpleAppMain] [AbstractEventListener] Found missing clusterService dependency for bean de.hybris.platform.btg.events.ContentPageVisitedBTGRuleDataEventListener$$EnhancerByCGLIB$$e206ae83@ab589ae, please adjust spring configuration
INFO   | jvm 1    | main    | 2014/01/06 12:24:18.068 | [m[0;33mWARN  [WrapperSimpleAppMain] [AbstractEventListener] Found missing tenantService dependency for bean de.hybris.platform.btg.events.CategoryVisitedBTGRuleDataEventListener$$EnhancerByCGLIB$$2f963cf3@48efc2b1, please adjust spring configuration
INFO   | jvm 1    | main    | 2014/01/06 12:24:18.071 | [m[0;33mWARN  [WrapperSimpleAppMain] [AbstractEventListener] Found missing clusterService dependency for bean de.hybris.platform.btg.events.CategoryVisitedBTGRuleDataEventListener$$EnhancerByCGLIB$$2f963cf3@48efc2b1, please adjust spring configuration
INFO   | jvm 1    | main    | 2014/01/06 12:24:18.073 | [m[0;33mWARN  [WrapperSimpleAppMain] [AbstractEventListener] Found missing tenantService dependency for bean de.hybris.platform.btg.events.RequestParametersUsedBTGRuleDataEventListener$$EnhancerByCGLIB$$b55eb69b@5fc277aa, please adjust spring configuration
INFO   | jvm 1    | main    | 2014/01/06 12:24:18.076 | [m[0;33mWARN  [WrapperSimpleAppMain] [AbstractEventListener] Found missing clusterService dependency for bean de.hybris.platform.btg.events.RequestParametersUsedBTGRuleDataEventListener$$EnhancerByCGLIB$$b55eb69b@5fc277aa, please adjust spring configuration
INFO   | jvm 1    | main    | 2014/01/06 12:24:18.079 | [m[0;33mWARN  [WrapperSimpleAppMain] [AbstractEventListener] Found missing tenantService dependency for bean de.hybris.platform.btg.events.RefererHeaderUsedBTGRuleDataEventListener$$EnhancerByCGLIB$$c54d161f@b7278ec, please adjust spring configuration
INFO   | jvm 1    | main    | 2014/01/06 12:24:18.081 | [m[0;33mWARN  [WrapperSimpleAppMain] [AbstractEventListener] Found missing clusterService dependency for bean de.hybris.platform.btg.events.RefererHeaderUsedBTGRuleDataEventListener$$EnhancerByCGLIB$$c54d161f@b7278ec, please adjust spring configuration
INFO   | jvm 1    | main    | 2014/01/06 12:24:18.284 | [m[0;33mWARN  [WrapperSimpleAppMain] [AbstractEventListener] Found missing tenantService dependency for bean de.hybris.platform.ticket.event.impl.DefaultOrderFraudEmployeeNotificationEventListener@2f03fadd, please adjust spring configuration
INFO   | jvm 1    | main    | 2014/01/06 12:24:18.288 | [m[0;33mWARN  [WrapperSimpleAppMain] [AbstractEventListener] Found missing clusterService dependency for bean de.hybris.platform.ticket.event.impl.DefaultOrderFraudEmployeeNotificationEventListener@2f03fadd, please adjust spring configuration
INFO   | jvm 1    | main    | 2014/01/06 12:24:18.791 | [m
INFO   | jvm 1    | main    | 2014/01/06 12:24:20.094 | [0;32mINFO  [WrapperSimpleAppMain] [TenantScopeAspect] Configured tenant <<master>> for aspect
INFO   | jvm 1    | main    | 2014/01/06 12:24:20.596 | [m
INFO   | jvm 1    | main    | 2014/01/06 12:24:24.103 | [0;32mINFO  [WrapperSimpleAppMain] [DefaultWURFLModel] WURFLModel version: Root:Stream resource:2.3.4, db.scientiamobile.com - 2012-11-08 12:25:24; devices: 18306 root devices: 8258; families: 2
INFO   | jvm 1    | main    | 2014/01/06 12:24:24.606 | [m
