INFO   | jvm 1    | main    | 2014/01/22 11:19:03.856 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] merchandisestorefront->(merchandisefacades,btg) 5.0.0.0 [w] path:/home/admin1/hybris/bin/custom/merchandise/merchandisestorefront
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.858 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] addonsupport->(acceleratorcms,acceleratorfacades) 5.0.0.0 [cibw] path:/home/admin1/hybris/bin/ext-addon/addonsupport
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.860 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] instore->commercefacades 5.0.0.0 [cibw] path:/home/admin1/hybris/bin/ext-channel/instore
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.862 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] yinstoreinitialdata->(acceleratorservices,instore,instoresampledata,acceleratorsampledata) 5.0.0.0 [c] path:/home/admin1/hybris/bin/ext-template/yinstoreinitialdata
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.865 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] cockpit->(validation,catalog,processing,impex,workflow,comments) 5.0.0.0 [ci] path:/home/admin1/hybris/bin/ext-platform/cockpit
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.867 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] cscockpit->(payment,solrfacetsearch,cockpit,basecommerce,ticketsystem,commerceservices) 5.0.0.0 [ciw] path:/home/admin1/hybris/bin/ext-channel/cscockpit
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.869 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] productcockpit->(cockpit,hmc) 5.0.0.0 [cwh] path:/home/admin1/hybris/bin/ext-content/productcockpit
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.871 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] cmscockpit->(cockpit,basecommerce,cms2,hmc) 5.0.0.0 [ciwh] path:/home/admin1/hybris/bin/ext-content/cmscockpit
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.873 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] btgcockpit->(virtualjdbc,cmscockpit,btg) 5.0.0.0 [ciw] path:/home/admin1/hybris/bin/ext-commerce/btgcockpit
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.875 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] reportcockpit->(virtualjdbc,cockpit,impex) 5.0.0.0 [ciw] path:/home/admin1/hybris/bin/ext-platform-optional/reportcockpit
